,Stadt,Stadtteilname,CDU,SPD,Grüne,FDP,AfD,Linke,Piraten
133,Hamburg,Billbrook,27.6,16.6,8.3,9.7,27.6,6.2,0
134,Hamburg,Rothenburgsort,29.3,20.5,7.8,15.8,13.2,6.7,0
135,Hamburg,Veddel,23.5,10.5,15.2,26.8,6.3,3.5,0
136,Hamburg,Wilhelmsburg,28.7,19.9,9.2,18.0,10.0,5.4,0
137,Hamburg,Kleiner Grasbrook/Steinwerder,10.4,4.9,16.6,42.0,4.9,3.9,0
138,Hamburg,Finkenwerder/Waltershof,29.8,24.5,10.8,11.8,10.0,7.3,0
139,Hamburg,Altona-Altstadt,19.8,13.1,21.1,27.9,5.3,5.3,0
140,Hamburg,Sternschanze,13.7,11.4,25.9,34.9,2.3,4.8,0
141,Hamburg,Altona-Nord,19.3,11.5,24.8,29.1,3.8,5.1,0
142,Hamburg,Ottensen,19.6,14.7,26.2,25.0,2.9,6.8,0
143,Hamburg,Bahrenfeld,23.5,17.7,20.3,20.1,5.7,7.6,0
144,Hamburg,Gro_ Flottbek,15.6,33.6,18.6,8.7,3.9,17.6,0
145,Hamburg,Othmarschen,15.6,31.2,18.2,9.1,4.5,19.3,0
146,Hamburg,Lurup,31.9,22.7,8.3,12.8,11.9,7.3,0
147,Hamburg,Osdorf,26.4,27.6,12.3,10.5,9.7,10.4,0
148,Hamburg,Nienstedten,12.6,39.0,15.3,5.7,4.2,21.4,0
149,Hamburg,Blankenese,14.1,34.7,17.4,6.6,6.1,19.6,0
150,Hamburg,Iserbrook,26.6,26.6,15.1,11.0,7.0,10.7,0
151,Hamburg,Sôlldorf,22.3,26.8,16.7,10.1,8.7,12.0,0
152,Hamburg,Rissen,18.0,33.2,14.3,9.2,7.2,15.4,0
153,Hamburg,Eimsbôttel,19.6,17.7,26.1,20.3,3.6,7.3,0
154,Hamburg,Rotherbaum,15.8,24.5,22.6,14.9,4.7,14.6,0
155,Hamburg,Harvestehude,16.6,27.3,18.9,10.8,4.2,19.2,0
156,Hamburg,Hoheluft-West,20.0,19.3,24.7,17.5,3.6,10.4,0
157,Hamburg,Lokstedt,23.8,26.0,17.6,12.3,5.9,10.7,0
158,Hamburg,Niendorf,25.5,29.7,12.9,9.4,8.0,11.1,0
159,Hamburg,Schnelsen,26.8,28.4,11.4,10.1,8.9,11.0,0
160,Hamburg,Eidelstedt,30.4,24.2,10.3,11.2,10.9,8.0,0
161,Hamburg,Stellingen,26.0,23.8,15.4,13.4,7.2,9.0,0
162,Hamburg,Hoheluft-Ost,20.8,25.4,21.8,12.5,3.2,13.2,0
163,Hamburg,Eppendorf,18.7,27.1,20.2,11.7,4.1,15.2,0
164,Hamburg,Gro_ Borstel,26.2,24.7,14.0,12.8,7.7,10.3,0
165,Hamburg,Alsterdorf,21.4,28.3,15.7,11.5,6.3,13.0,0
166,Hamburg,Winterhude,19.3,25.8,20.4,12.7,4.9,13.1,0
167,Hamburg,Uhlenhorst,18.3,29.4,17.1,9.9,5.7,16.4,0
168,Hamburg,Hohenfelde,21.1,24.2,17.7,14.1,7.0,11.4,0
169,Hamburg,Barmbek-Sôd,22.8,23.2,17.6,15.0,6.3,9.7,0
170,Hamburg,Dulsberg,27.4,18.7,13.5,17.2,9.0,7.5,0
171,Hamburg,Barmbek-Nord,23.8,20.9,16.6,16.8,7.1,8.6,0
172,Hamburg,Ohlsdorf,23.8,23.8,17.3,13.4,7.3,9.2,0
173,Hamburg,Fuhlsbôttel,24.2,26.4,14.5,12.5,7.7,10.5,0
174,Hamburg,Langenhorn,28.8,24.8,11.3,11.6,10.0,8.8,0
175,Hamburg,Eilbek,23.9,24.3,15.4,14.2,7.0,9.7,0
176,Hamburg,Wandsbek,27.2,25.0,11.9,12.3,9.7,8.9,0
177,Hamburg,Marienthal,21.0,30.8,13.8,9.0,7.6,14.1,0
178,Hamburg,Jenfeld,31.3,24.2,6.3,10.6,15.1,8.4,0
179,Hamburg,Tonndorf,27.9,26.4,9.7,10.5,12.5,8.8,0
180,Hamburg,Farmsen-Berne,29.5,25.2,9.2,11.2,11.7,8.7,0
181,Hamburg,Bramfeld,28.4,26.2,9.7,11.2,11.1,8.8,0
182,Hamburg,Steilshoop,32.8,21.7,7.8,13.5,12.1,6.5,0
183,Hamburg,Wellingsbôttel,16.4,36.9,13.0,6.2,5.7,20.1,0
184,Hamburg,Sasel,21.7,35.0,13.1,6.7,6.1,15.2,0
185,Hamburg,Poppenbôttel,23.5,32.4,11.3,7.9,7.7,14.5,0
186,Hamburg,Hummelsbôttel,25.7,28.4,10.0,10.3,10.4,11.9,0
187,Hamburg,Lemsahl-Mellingstedt,19.2,37.2,13.0,5.2,6.4,17.4,0
188,Hamburg,Duvenstedt,16.5,38.3,13.2,6.6,7.5,15.4,0
189,Hamburg,Wohldorf-Ohlstedt,14.5,34.9,16.0,6.4,6.2,19.3,0
190,Hamburg,Bergstedt,21.8,30.3,16.6,9.4,7.0,11.7,0
191,Hamburg,Volksdorf,18.3,30.0,18.9,9.3,6.0,14.9,0
192,Hamburg,Rahlstedt,27.1,28.2,9.5,9.6,11.9,9.7,0
193,Hamburg,Lohbrôgge,29.2,24.7,8.4,11.6,13.5,8.2,0
194,Hamburg,Bergedorf,24.9,25.1,13.8,12.1,10.5,9.0,0
195,Hamburg,Curslack,21.7,37.0,11.8,7.2,9.3,9.9,0
196,Hamburg,Altengamme,22.1,36.3,11.7,7.8,8.4,10.1,0
197,Hamburg,Neuengamme,20.4,38.5,10.9,6.8,10.3,9.7,0
198,Hamburg,Kirchwerder,19.9,39.0,8.7,7.7,11.2,10.0,0
199,Hamburg,Ochsenwerder,18.6,40.1,8.8,6.5,10.5,11.3,0
200,Hamburg,Reitbrook,20.3,42.8,9.3,5.1,10.6,9.7,0
201,Hamburg,Allerm_he,19.3,35.3,8.8,8.0,13.0,11.6,0
202,Hamburg,Billwerder,19.9,26.0,7.9,13.2,17.5,10.6,0
203,Hamburg,Moorfleet,22.1,34.6,5.9,9.6,13.7,9.6,0
204,Hamburg,Tatenberg,18.5,40.9,14.6,6.3,7.9,9.1,0
205,Hamburg,Spadenland,18.9,44.2,4.8,8.8,8.8,11.6,0
206,Hamburg,Neuallerm_he,28.2,20.4,7.8,14.5,18.7,6.2,0
207,Hamburg,Harburg,25.7,18.6,13.2,15.8,11.8,7.2,0
208,Hamburg,Neuland/Gut Moor,28.2,27.8,7.0,8.2,11.9,11.3,0
209,Hamburg,Wilstorf,29.0,23.6,9.2,12.7,13.4,6.9,0
210,Hamburg,R_nneburg,24.2,29.9,10.3,10.7,12.5,8.8,0
211,Hamburg,Langenbek,28.6,25.2,10.3,10.8,14.2,7.7,0
212,Hamburg,Sinstorf,27.4,28.1,11.7,7.7,13.0,8.5,0
213,Hamburg,Marmstorf,26.5,27.2,11.2,9.7,11.1,10.5,0
214,Hamburg,Ei_endorf,25.7,26.1,10.7,11.2,12.7,8.6,0
215,Hamburg,Heimfeld,25.4,22.3,13.7,14.4,9.9,8.3,0
216,Hamburg,Altenwerder/Moorburg,19.8,22.1,10.4,24.0,10.7,6.2,0
217,Hamburg,Hausbruch,25.9,24.7,8.6,10.0,17.6,8.7,0
218,Hamburg,Neugraben-Fischbek,26.2,25.4,9.3,10.4,16.1,8.3,0
219,Hamburg,Francop,16.6,48.4,7.7,4.2,9.2,11.3,0
220,Hamburg,Neuenfelde,23.9,33.3,6.1,9.0,9.3,11.5,0
221,Hamburg,Cranz,25.9,25.5,13.5,7.3,12.0,11.6,0
222,Dresden,01 StB Altstadt ohne Johannstadt,26.0,12.0,10.0,12.0,12.0,19.0,0.0
223,Dresden,01 StB Altstadt ohne Johannstadt,21.0,11.0,6.0,15.0,16.0,22.0,0.0
224,Dresden,01 StB Altstadt ohne Johannstadt,30.0,12.0,6.0,9.0,13.0,18.0,0.0
225,Dresden,01 StB Altstadt ohne Johannstadt,26.0,15.0,7.0,9.0,11.0,20.0,0.0
226,Dresden,01 StB Altstadt ohne Johannstadt,19.0,12.0,9.0,5.0,18.0,25.0,1.0
227,Dresden,01 StB Altstadt ohne Johannstadt,22.0,9.0,7.0,7.0,20.0,21.0,1.0
228,Dresden,01 StB Altstadt ohne Johannstadt,29.0,13.0,4.0,8.0,24.0,16.0,0.0
229,Dresden,01 StB Altstadt ohne Johannstadt,25.0,12.0,9.0,12.0,13.0,18.0,0.0
230,Dresden,01 StB Altstadt ohne Johannstadt,32.0,10.0,7.0,10.0,16.0,16.0,1.0
231,Dresden,01 StB Altstadt ohne Johannstadt,22.0,13.0,5.0,11.0,21.0,17.0,0.0
232,Dresden,01 StB Altstadt ohne Johannstadt,22.0,12.0,4.0,8.0,23.0,20.0,1.0
233,Dresden,01 StB Altstadt ohne Johannstadt,29.0,13.0,5.0,10.0,19.0,16.0,0.0
234,Dresden,01 StB Altstadt ohne Johannstadt,24.0,12.0,6.0,9.0,25.0,15.0,0.0
235,Dresden,01 StB Altstadt ohne Johannstadt,28.0,11.0,7.0,11.0,14.0,20.0,0.0
236,Dresden,01 StB Altstadt ohne Johannstadt,25.0,13.0,5.0,9.0,16.0,22.0,0.0
237,Dresden,01 StB Altstadt ohne Johannstadt,18.0,12.0,11.0,19.0,14.0,15.0,1.0
238,Dresden,01 StB Altstadt ohne Johannstadt,22.0,11.0,8.0,11.0,19.0,20.0,0.0
239,Dresden,01 StB Altstadt ohne Johannstadt,21.0,12.0,4.0,7.0,26.0,18.0,0.0
240,Dresden,01 StB Altstadt ohne Johannstadt,22.0,14.0,5.0,8.0,24.0,19.0,0.0
241,Dresden,01 StB Altstadt ohne Johannstadt,20.0,9.0,4.0,5.0,26.0,25.0,1.0
242,Dresden,01 StB Altstadt ohne Johannstadt,23.0,9.0,4.0,8.0,25.0,24.0,0.0
243,Dresden,01 StB Altstadt ohne Johannstadt,22.0,9.0,14.0,9.0,10.0,20.0,2.0
244,Dresden,01 StB Altstadt ohne Johannstadt,24.0,10.0,12.0,8.0,11.0,18.0,2.0
245,Dresden,01 StB Altstadt ohne Johannstadt,20.0,11.0,9.0,10.0,19.0,17.0,0.0
246,Dresden,01 StB Altstadt ohne Johannstadt,12.0,10.0,11.0,9.0,13.0,27.0,2.0
247,Dresden,01 StB Altstadt ohne Johannstadt,17.0,10.0,15.0,10.0,14.0,22.0,0.0
248,Dresden,01 StB Altstadt ohne Johannstadt,13.0,10.0,6.0,8.0,24.0,22.0,2.0
249,Dresden,02 Johannstadt,26.0,10.0,6.0,9.0,15.0,23.0,1.0
250,Dresden,02 Johannstadt,22.0,12.0,14.0,9.0,9.0,23.0,0.0
251,Dresden,02 Johannstadt,26.0,11.0,13.0,10.0,13.0,18.0,0.0
252,Dresden,02 Johannstadt,24.0,10.0,3.0,7.0,25.0,20.0,0.0
253,Dresden,02 Johannstadt,18.0,12.0,10.0,5.0,24.0,22.0,0.0
254,Dresden,02 Johannstadt,18.0,13.0,1.0,7.0,28.0,22.0,1.0
255,Dresden,02 Johannstadt,23.0,12.0,8.0,6.0,22.0,19.0,0.0
256,Dresden,02 Johannstadt,20.0,13.0,13.0,9.0,15.0,20.0,1.0
257,Dresden,02 Johannstadt,21.0,12.0,8.0,8.0,19.0,20.0,1.0
258,Dresden,02 Johannstadt,22.0,10.0,13.0,11.0,16.0,18.0,0.0
259,Dresden,02 Johannstadt,32.0,9.0,5.0,10.0,18.0,16.0,0.0
260,Dresden,02 Johannstadt,30.0,11.0,3.0,9.0,21.0,20.0,0.0
261,Dresden,02 Johannstadt,25.0,11.0,5.0,9.0,17.0,23.0,0.0
262,Dresden,02 Johannstadt,27.0,13.0,3.0,6.0,20.0,22.0,0.0
263,Dresden,02 Johannstadt,27.0,9.0,3.0,8.0,27.0,18.0,0.0
264,Dresden,02 Johannstadt,29.0,11.0,3.0,9.0,21.0,17.0,0.0
265,Dresden,02 Johannstadt,24.0,9.0,3.0,8.0,31.0,17.0,0.0
266,Dresden,02 Johannstadt,28.0,15.0,2.0,8.0,24.0,18.0,0.0
267,Dresden,02 Johannstadt,21.0,11.0,3.0,8.0,27.0,20.0,0.0
268,Dresden,02 Johannstadt,21.0,13.0,2.0,8.0,29.0,20.0,0.0
269,Dresden,02 Johannstadt,18.0,9.0,4.0,3.0,28.0,28.0,0.0
270,Dresden,02 Johannstadt,22.0,10.0,4.0,6.0,29.0,21.0,0.0
271,Dresden,02 Johannstadt,29.0,10.0,2.0,8.0,26.0,18.0,0.0
272,Dresden,03 StB Neustadt ohne Leipziger Vorstadt,13.0,9.0,26.0,6.0,5.0,29.0,1.0
273,Dresden,03 StB Neustadt ohne Leipziger Vorstadt,15.0,11.0,20.0,8.0,3.0,26.0,1.0
274,Dresden,03 StB Neustadt ohne Leipziger Vorstadt,13.0,11.0,26.0,4.0,3.0,29.0,1.0
275,Dresden,03 StB Neustadt ohne Leipziger Vorstadt,11.0,12.0,25.0,6.0,3.0,29.0,1.0
276,Dresden,03 StB Neustadt ohne Leipziger Vorstadt,10.0,9.0,23.0,6.0,5.0,31.0,0.0
277,Dresden,03 StB Neustadt ohne Leipziger Vorstadt,11.0,12.0,20.0,7.0,5.0,28.0,2.0
278,Dresden,03 StB Neustadt ohne Leipziger Vorstadt,12.0,11.0,17.0,8.0,8.0,28.0,2.0
279,Dresden,03 StB Neustadt ohne Leipziger Vorstadt,12.0,9.0,18.0,6.0,8.0,29.0,2.0
280,Dresden,03 StB Neustadt ohne Leipziger Vorstadt,12.0,8.0,24.0,5.0,7.0,29.0,1.0
281,Dresden,03 StB Neustadt ohne Leipziger Vorstadt,11.0,9.0,24.0,5.0,5.0,33.0,1.0
282,Dresden,03 StB Neustadt ohne Leipziger Vorstadt,10.0,11.0,25.0,7.0,5.0,30.0,1.0
283,Dresden,03 StB Neustadt ohne Leipziger Vorstadt,9.0,10.0,24.0,4.0,8.0,30.0,1.0
284,Dresden,03 StB Neustadt ohne Leipziger Vorstadt,10.0,11.0,20.0,5.0,7.0,31.0,1.0
285,Dresden,03 StB Neustadt ohne Leipziger Vorstadt,24.0,10.0,22.0,7.0,7.0,21.0,1.0
286,Dresden,03 StB Neustadt ohne Leipziger Vorstadt,24.0,11.0,13.0,10.0,13.0,18.0,1.0
287,Dresden,03 StB Neustadt ohne Leipziger Vorstadt,17.0,10.0,23.0,7.0,11.0,22.0,1.0
288,Dresden,03 StB Neustadt ohne Leipziger Vorstadt,21.0,10.0,18.0,10.0,13.0,18.0,1.0
289,Dresden,03 StB Neustadt ohne Leipziger Vorstadt,24.0,10.0,15.0,9.0,16.0,17.0,0.0
290,Dresden,03 StB Neustadt ohne Leipziger Vorstadt,20.0,9.0,11.0,11.0,15.0,21.0,1.0
291,Dresden,03 StB Neustadt ohne Leipziger Vorstadt,22.0,6.0,11.0,13.0,16.0,21.0,0.0
292,Dresden,03 StB Neustadt ohne Leipziger Vorstadt,16.0,7.0,6.0,6.0,24.0,25.0,1.0
293,Dresden,03 StB Neustadt ohne Leipziger Vorstadt,23.0,11.0,12.0,9.0,11.0,24.0,1.0
294,Dresden,03 StB Neustadt ohne Leipziger Vorstadt,27.0,10.0,20.0,9.0,7.0,17.0,0.0
295,Dresden,03 StB Neustadt ohne Leipziger Vorstadt,19.0,11.0,14.0,11.0,13.0,18.0,1.0
296,Dresden,03 StB Neustadt ohne Leipziger Vorstadt,25.0,13.0,3.0,6.0,21.0,22.0,1.0
297,Dresden,03 StB Neustadt ohne Leipziger Vorstadt,15.0,10.0,16.0,9.0,10.0,25.0,1.0
298,Dresden,03 StB Neustadt ohne Leipziger Vorstadt,20.0,12.0,13.0,7.0,13.0,25.0,1.0
299,Dresden,"04 Leipziger Vorstadt, Pieschen",13.0,9.0,21.0,6.0,3.0,32.0,1.0
300,Dresden,"04 Leipziger Vorstadt, Pieschen",12.0,10.0,24.0,4.0,6.0,28.0,1.0
301,Dresden,"04 Leipziger Vorstadt, Pieschen",20.0,10.0,16.0,6.0,14.0,20.0,1.0
302,Dresden,"04 Leipziger Vorstadt, Pieschen",11.0,9.0,12.0,5.0,16.0,31.0,0.0
303,Dresden,"04 Leipziger Vorstadt, Pieschen",8.0,9.0,17.0,5.0,7.0,38.0,1.0
304,Dresden,"04 Leipziger Vorstadt, Pieschen",8.0,9.0,19.0,4.0,5.0,36.0,2.0
305,Dresden,"04 Leipziger Vorstadt, Pieschen",10.0,8.0,19.0,3.0,7.0,33.0,1.0
306,Dresden,"04 Leipziger Vorstadt, Pieschen",12.0,10.0,21.0,5.0,6.0,31.0,0.0
307,Dresden,"04 Leipziger Vorstadt, Pieschen",14.0,9.0,17.0,7.0,13.0,25.0,1.0
308,Dresden,"04 Leipziger Vorstadt, Pieschen",22.0,9.0,6.0,8.0,27.0,19.0,1.0
309,Dresden,03 StB Neustadt ohne Leipziger Vorstadt,23.0,8.0,14.0,14.0,14.0,17.0,0.0
310,Dresden,03 StB Neustadt ohne Leipziger Vorstadt,24.0,10.0,16.0,8.0,12.0,18.0,1.0
311,Dresden,03 StB Neustadt ohne Leipziger Vorstadt,21.0,10.0,13.0,7.0,18.0,19.0,0.0
312,Dresden,"04 Leipziger Vorstadt, Pieschen",20.0,8.0,17.0,7.0,10.0,23.0,0.0
