,Jahr,Wahlart,Wahlbezirk,Stadtteil zus.,Stadtraum,Stadtbezirk mit zugeordneten Ortschaften,Wahl-Form,Wahlberechtigte,Wahlberechtigte mit WS,W_hler,W_hler mit WS,Stimmen gôltig,Stimmen CDU,Stimmen SPD,Stimmen Die Linke,Stimmen Grône,Stimmen FDP,Stimmen Rechte Parteien,Stimmen AfD,Stimmen Piraten,Stimmen sonstiger Parteien,Stimmen ungôltig
28,2017,Bundestagswahl,6002,06 Johannstadt-Nord,02 Johannstadt,StB 0 Altstadt,Wahlbezirk_Brief,0,0,850,850,845,186,107,196,126,78,3,77,6,66,5
29,2017,Bundestagswahl,6003,06 Johannstadt-Nord,02 Johannstadt,StB 0 Altstadt,Wahlbezirk_Brief,0,0,848,848,846,220,97,160,110,89,1,113,2,54,2
30,2017,Bundestagswahl,6100,06 Johannstadt-Nord,02 Johannstadt,StB 0 Altstadt,Wahlbezirk_Urne,1032,180,671,0,666,166,71,139,21,52,5,171,4,37,5
31,2017,Bundestagswahl,6200,06 Johannstadt-Nord,02 Johannstadt,StB 0 Altstadt,Wahlbezirk_Urne,1129,234,574,3,566,104,71,129,57,29,4,140,3,29,8
32,2017,Bundestagswahl,6300,06 Johannstadt-Nord,02 Johannstadt,StB 0 Altstadt,Wahlbezirk_Urne,828,127,412,1,408,74,54,91,8,30,5,117,5,24,4
33,2017,Bundestagswahl,6400,06 Johannstadt-Nord,02 Johannstadt,StB 0 Altstadt,Wahlbezirk_Urne,1170,275,640,1,634,147,82,126,56,41,2,141,5,34,6
34,2017,Bundestagswahl,6500,06 Johannstadt-Nord,02 Johannstadt,StB 0 Altstadt,Wahlbezirk_Urne,1772,603,961,3,957,195,128,196,128,87,3,147,11,62,4
35,2017,Bundestagswahl,6600,06 Johannstadt-Nord,02 Johannstadt,StB 0 Altstadt,Wahlbezirk_Urne,1478,373,692,1,679,148,88,137,61,59,1,133,9,43,13
36,2017,Bundestagswahl,6800,06 Johannstadt-Nord,02 Johannstadt,StB 0 Altstadt,Wahlbezirk_Urne,1738,516,724,10,719,164,77,135,97,80,1,116,5,44,5
37,2017,Bundestagswahl,7001,07 Johannstadt-Sôd,02 Johannstadt,StB 0 Altstadt,Wahlbezirk_Brief,0,0,824,824,821,265,82,137,44,84,5,148,6,50,3
38,2017,Bundestagswahl,7002,07 Johannstadt-Sôd,02 Johannstadt,StB 0 Altstadt,Wahlbezirk_Brief,0,0,682,682,675,204,77,140,21,67,1,145,1,19,7
39,2017,Bundestagswahl,7003,07 Johannstadt-Sôd,02 Johannstadt,StB 0 Altstadt,Wahlbezirk_Brief,0,0,829,829,822,213,94,190,49,79,1,144,5,47,7
40,2017,Bundestagswahl,7100,07 Johannstadt-Sôd,02 Johannstadt,StB 0 Altstadt,Wahlbezirk_Urne,1170,288,638,0,629,175,84,139,25,44,4,128,5,25,9
41,2017,Bundestagswahl,7200,07 Johannstadt-Sôd,02 Johannstadt,StB 0 Altstadt,Wahlbezirk_Urne,940,226,544,0,532,145,53,100,17,44,1,146,3,23,12
