CDU,SPD,GrÃ¼ne,FDP,AfD,Linke,Unnamed: 0,Stadtteilname,Piraten
24,9,3,8,31,17,43.0,2.0,0.0
28,15,2,8,24,18,44.0,2.0,0.0
21,11,3,8,27,20,45.0,2.0,0.0
21,13,2,8,29,20,46.0,2.0,0.0
18,9,4,3,28,28,47.0,2.0,0.0
22,10,4,6,29,21,48.0,2.0,0.0
29,10,2,8,26,18,49.0,2.0,0.0
13,9,26,6,5,29,50.0,3.0,1.0
15,11,20,8,3,26,51.0,3.0,1.0
13,11,26,4,3,29,52.0,3.0,1.0
11,12,25,6,3,29,53.0,3.0,1.0
10,9,23,6,5,31,54.0,3.0,0.0
11,12,20,7,5,28,55.0,3.0,2.0
12,11,17,8,8,28,56.0,3.0,2.0
12,9,18,6,8,29,57.0,3.0,2.0
12,8,24,5,7,29,58.0,3.0,1.0
11,9,24,5,5,33,59.0,3.0,1.0
10,11,25,7,5,30,60.0,3.0,1.0
9,10,24,4,8,30,61.0,3.0,1.0
10,11,20,5,7,31,62.0,3.0,1.0
24,10,22,7,7,21,63.0,3.0,1.0
24,11,13,10,13,18,64.0,3.0,1.0
17,10,23,7,11,22,65.0,3.0,1.0
21,10,18,10,13,18,66.0,3.0,1.0
24,10,15,9,16,17,67.0,3.0,0.0
20,9,11,11,15,21,68.0,3.0,1.0
22,6,11,13,16,21,69.0,3.0,0.0
16,7,6,6,24,25,70.0,3.0,1.0
23,11,12,9,11,24,71.0,3.0,1.0
27,10,20,9,7,17,72.0,3.0,0.0
19,11,14,11,13,18,73.0,3.0,1.0
25,13,3,6,21,22,74.0,3.0,1.0
15,10,16,9,10,25,75.0,3.0,1.0
20,12,13,7,13,25,76.0,3.0,1.0
13,9,21,6,3,32,77.0,4.0,1.0
12,10,24,4,6,28,78.0,4.0,1.0
20,10,16,6,14,20,79.0,4.0,1.0
11,9,12,5,16,31,80.0,4.0,0.0
8,9,17,5,7,38,81.0,4.0,1.0
8,9,19,4,5,36,82.0,4.0,2.0
10,8,19,3,7,33,83.0,4.0,1.0
12,10,21,5,6,31,84.0,4.0,0.0
14,9,17,7,13,25,85.0,4.0,1.0
22,9,6,8,27,19,86.0,4.0,1.0
23,8,14,14,14,17,87.0,3.0,0.0
24,10,16,8,12,18,88.0,3.0,1.0
21,10,13,7,18,19,89.0,3.0,0.0
20,8,17,7,10,23,90.0,4.0,0.0
19,8,15,9,11,24,91.0,4.0,0.0
13,8,15,7,11,29,92.0,4.0,1.0
14,9,10,8,20,25,93.0,4.0,2.0
19,10,12,7,17,20,94.0,4.0,1.0
13,10,14,6,18,22,95.0,4.0,2.0
16,10,13,4,19,23,96.0,4.0,1.0
16,8,12,7,22,21,97.0,4.0,1.0
26,9,8,8,18,17,98.0,5.0,1.0
26,8,7,9,21,16,99.0,5.0,0.0
18,10,8,6,25,21,100.0,5.0,0.0
18,10,4,7,30,17,101.0,5.0,1.0
20,8,4,6,25,21,102.0,5.0,1.0
20,10,1,7,33,16,103.0,5.0,0.0
