CDU,SPD,GrÃ¼ne,FDP,AfD,Linke,Unnamed: 0,Stadtteilname,Piraten
28.7,19.9,9.2,18.0,10.0,5.4,6.0,7.0,8.8
10.4,4.9,16.6,42.0,4.9,3.9,7.0,8.0,17.3
29.8,24.5,10.8,11.8,10.0,7.3,8.0,9.0,5.8
19.8,13.1,21.1,27.9,5.3,5.3,9.0,10.0,7.5
13.7,11.4,25.9,34.9,2.3,4.8,10.0,11.0,7.0
19.3,11.5,24.8,29.1,3.8,5.1,11.0,12.0,6.4
19.6,14.7,26.2,25.0,2.9,6.8,12.0,13.0,4.8
23.5,17.7,20.3,20.1,5.7,7.6,13.0,14.0,5.1
15.6,33.6,18.6,8.7,3.9,17.6,14.0,15.0,2.0
15.6,31.2,18.2,9.1,4.5,19.3,15.0,16.0,2.1
31.9,22.7,8.3,12.8,11.9,7.3,16.0,17.0,5.1
26.4,27.6,12.3,10.5,9.7,10.4,17.0,18.0,3.1
12.6,39.0,15.3,5.7,4.2,21.4,18.0,19.0,1.8
14.1,34.7,17.4,6.6,6.1,19.6,19.0,20.0,1.5
26.6,26.6,15.1,11.0,7.0,10.7,20.0,21.0,3.0
22.3,26.8,16.7,10.1,8.7,12.0,21.0,22.0,3.4
18.0,33.2,14.3,9.2,7.2,15.4,22.0,23.0,2.7
19.6,17.7,26.1,20.3,3.6,7.3,23.0,24.0,5.4
15.8,24.5,22.6,14.9,4.7,14.6,24.0,25.0,2.9
16.6,27.3,18.9,10.8,4.2,19.2,25.0,26.0,3.0
20.0,19.3,24.7,17.5,3.6,10.4,26.0,27.0,4.5
23.8,26.0,17.6,12.3,5.9,10.7,27.0,28.0,3.7
25.5,29.7,12.9,9.4,8.0,11.1,28.0,29.0,3.4
26.8,28.4,11.4,10.1,8.9,11.0,29.0,30.0,3.4
30.4,24.2,10.3,11.2,10.9,8.0,30.0,31.0,5.0
26.0,23.8,15.4,13.4,7.2,9.0,31.0,32.0,5.2
20.8,25.4,21.8,12.5,3.2,13.2,32.0,33.0,3.1
18.7,27.1,20.2,11.7,4.1,15.2,33.0,34.0,3.0
26.2,24.7,14.0,12.8,7.7,10.3,34.0,35.0,4.3
21.4,28.3,15.7,11.5,6.3,13.0,35.0,36.0,3.8
19.3,25.8,20.4,12.7,4.9,13.1,36.0,37.0,3.8
18.3,29.4,17.1,9.9,5.7,16.4,37.0,38.0,3.2
21.1,24.2,17.7,14.1,7.0,11.4,38.0,39.0,4.5
22.8,23.2,17.6,15.0,6.3,9.7,39.0,40.0,5.4
27.4,18.7,13.5,17.2,9.0,7.5,40.0,41.0,6.7
23.8,20.9,16.6,16.8,7.1,8.6,41.0,42.0,6.2
23.8,23.8,17.3,13.4,7.3,9.2,42.0,43.0,5.2
24.2,26.4,14.5,12.5,7.7,10.5,43.0,44.0,4.2
28.8,24.8,11.3,11.6,10.0,8.8,44.0,45.0,4.7
23.9,24.3,15.4,14.2,7.0,9.7,45.0,46.0,5.5
27.2,25.0,11.9,12.3,9.7,8.9,46.0,47.0,5.0
21.0,30.8,13.8,9.0,7.6,14.1,47.0,48.0,3.7
31.3,24.2,6.3,10.6,15.1,8.4,48.0,49.0,4.1
27.9,26.4,9.7,10.5,12.5,8.8,49.0,50.0,4.2
29.5,25.2,9.2,11.2,11.7,8.7,50.0,51.0,4.5
28.4,26.2,9.7,11.2,11.1,8.8,51.0,52.0,4.6
32.8,21.7,7.8,13.5,12.1,6.5,52.0,53.0,5.6
16.4,36.9,13.0,6.2,5.7,20.1,53.0,54.0,1.7
21.7,35.0,13.1,6.7,6.1,15.2,54.0,55.0,2.2
23.5,32.4,11.3,7.9,7.7,14.5,55.0,56.0,2.7
25.7,28.4,10.0,10.3,10.4,11.9,56.0,57.0,3.3
19.2,37.2,13.0,5.2,6.4,17.4,57.0,58.0,1.6
16.5,38.3,13.2,6.6,7.5,15.4,58.0,59.0,2.5
14.5,34.9,16.0,6.4,6.2,19.3,59.0,60.0,2.7
21.8,30.3,16.6,9.4,7.0,11.7,60.0,61.0,3.2
18.3,30.0,18.9,9.3,6.0,14.9,61.0,62.0,2.6
27.1,28.2,9.5,9.6,11.9,9.7,62.0,63.0,4.0
29.2,24.7,8.4,11.6,13.5,8.2,63.0,64.0,4.4
24.9,25.1,13.8,12.1,10.5,9.0,64.0,65.0,4.6
21.7,37.0,11.8,7.2,9.3,9.9,65.0,66.0,3.1
22.1,36.3,11.7,7.8,8.4,10.1,66.0,67.0,3.6
20.4,38.5,10.9,6.8,10.3,9.7,67.0,68.0,3.4
19.9,39.0,8.7,7.7,11.2,10.0,68.0,69.0,3.5
18.6,40.1,8.8,6.5,10.5,11.3,69.0,70.0,4.2
20.3,42.8,9.3,5.1,10.6,9.7,70.0,71.0,2.2
19.3,35.3,8.8,8.0,13.0,11.6,71.0,72.0,4.0
19.9,26.0,7.9,13.2,17.5,10.6,72.0,73.0,4.9
22.1,34.6,5.9,9.6,13.7,9.6,73.0,74.0,4.5
18.5,40.9,14.6,6.3,7.9,9.1,74.0,75.0,2.7
18.9,44.2,4.8,8.8,8.8,11.6,75.0,76.0,2.9
28.2,20.4,7.8,14.5,18.7,6.2,76.0,77.0,4.2
25.7,18.6,13.2,15.8,11.8,7.2,77.0,78.0,7.7
28.2,27.8,7.0,8.2,11.9,11.3,78.0,79.0,5.6
29.0,23.6,9.2,12.7,13.4,6.9,79.0,80.0,5.2
24.2,29.9,10.3,10.7,12.5,8.8,80.0,81.0,3.6
28.6,25.2,10.3,10.8,14.2,7.7,81.0,82.0,3.2
27.4,28.1,11.7,7.7,13.0,8.5,82.0,83.0,3.6
26.5,27.2,11.2,9.7,11.1,10.5,83.0,84.0,3.8
25.7,26.1,10.7,11.2,12.7,8.6,84.0,85.0,5.0
25.4,22.3,13.7,14.4,9.9,8.3,85.0,86.0,6.0
19.8,22.1,10.4,24.0,10.7,6.2,86.0,87.0,6.8
25.9,24.7,8.6,10.0,17.6,8.7,87.0,88.0,4.5
26.2,25.4,9.3,10.4,16.1,8.3,88.0,89.0,4.3
16.6,48.4,7.7,4.2,9.2,11.3,89.0,90.0,2.6
23.9,33.3,6.1,9.0,9.3,11.5,90.0,91.0,6.9
25.9,25.5,13.5,7.3,12.0,11.6,91.0,92.0,4.2
24.3,24.7,14.3,13.4,8.8,9.9,92.0,93.0,4.6
23.5,27.2,13.9,12.2,7.8,10.8,93.0,94.0,4.6
