Stadt,Jahr,Wahlart,Kolumna1,Stadtteil zus.,Wahlberechtigte,Wahlberechtigte mit WS,Wähler,Wähler mit WS,Stimmen gültig,Stimmen CDU,Stimmen SPD,Stimmen Die Linke,Stimmen Grüne,Stimmen FDP,Stimmen AfD,Stimmen Piraten,Stimmen ungültig
Dresden,2017,Bundestagswahl,,11 Äußere Neustadt (Antonstadt),0,0,832,832,829,128,99,220,168,73,33,14,3
Dresden,2017,Bundestagswahl,,11 Äußere Neustadt (Antonstadt),0,0,1234,1234,1230,167,146,361,327,59,38,14,4
Dresden,2017,Bundestagswahl,,11 Äußere Neustadt (Antonstadt),0,0,972,972,968,115,122,283,246,66,37,16,4
Dresden,2017,Bundestagswahl,,11 Äußere Neustadt (Antonstadt),1657,558,779,2,776,80,74,248,185,51,44,7,3
Dresden,2017,Bundestagswahl,,11 Äußere Neustadt (Antonstadt),1311,457,685,10,684,78,84,197,139,51,38,17,1
Dresden,2017,Bundestagswahl,,11 Äußere Neustadt (Antonstadt),1333,370,743,8,737,93,83,210,129,64,62,17,6
Dresden,2017,Bundestagswahl,,11 Äußere Neustadt (Antonstadt),1768,511,947,1,937,117,89,277,172,57,80,21,10
Dresden,2017,Bundestagswahl,,11 Äußere Neustadt (Antonstadt),1548,495,865,5,861,110,76,250,207,46,64,16,4
Dresden,2017,Bundestagswahl,,11 Äußere Neustadt (Antonstadt),1177,334,726,7,720,80,67,239,176,42,42,8,6
Dresden,2017,Bundestagswahl,,11 Äußere Neustadt (Antonstadt),1403,471,793,9,787,79,89,243,197,56,42,12,6
Dresden,2017,Bundestagswahl,,11 Äußere Neustadt (Antonstadt),1404,454,798,3,795,75,86,241,198,34,64,12,3
Dresden,2017,Bundestagswahl,,11 Äußere Neustadt (Antonstadt),1577,562,792,7,789,84,88,251,164,41,56,10,3
Dresden,2017,Bundestagswahl,,12 Radeberger Vorstadt,0,0,585,585,582,143,62,123,129,44,41,7,3
Dresden,2017,Bundestagswahl,,12 Radeberger Vorstadt,0,0,1133,1133,1129,280,130,213,153,116,149,15,4
Dresden,2017,Bundestagswahl,,12 Radeberger Vorstadt,949,293,557,5,554,99,59,123,132,42,61,8,3
Dresden,2017,Bundestagswahl,,12 Radeberger Vorstadt,1085,316,668,2,667,141,69,121,125,73,90,10,1
Dresden,2017,Bundestagswahl,,12 Radeberger Vorstadt,1127,381,606,3,603,146,64,108,95,58,99,3,3
Dresden,2017,Bundestagswahl,,12 Radeberger Vorstadt,1097,320,587,2,583,121,57,123,69,65,92,7,4
Dresden,2017,Bundestagswahl,,12 Radeberger Vorstadt,875,265,490,2,486,109,34,104,56,64,80,2,4
Dresden,2017,Bundestagswahl,,12 Radeberger Vorstadt,1362,210,724,1,709,119,56,181,47,49,176,11,15
Dresden,2017,Bundestagswahl,,13 Innere Neustadt,0,0,779,779,772,181,90,190,94,73,86,8,7
Dresden,2017,Bundestagswahl,,13 Innere Neustadt,0,0,945,945,942,258,101,169,190,91,71,9,3
Dresden,2017,Bundestagswahl,,13 Innere Neustadt,1351,454,686,5,682,135,81,128,100,79,94,12,4
Dresden,2017,Bundestagswahl,,13 Innere Neustadt,1194,364,569,2,561,142,76,129,21,36,118,7,8
Dresden,2017,Bundestagswahl,,13 Innere Neustadt,1333,389,728,8,724,111,79,184,120,72,74,9,4
Dresden,2017,Bundestagswahl,,13 Innere Neustadt,1665,589,798,3,795,161,96,201,106,59,107,9,3
Dresden,2017,Bundestagswahl,,14 Leipziger Vorstadt,0,0,1225,1225,1219,162,110,399,262,75,45,17,6
Dresden,2017,Bundestagswahl,,14 Leipziger Vorstadt,0,0,603,603,601,76,65,172,148,25,38,11,2
Dresden,2017,Bundestagswahl,,14 Leipziger Vorstadt,0,0,593,593,585,121,59,122,95,40,85,11,8
Dresden,2017,Bundestagswahl,,14 Leipziger Vorstadt,960,253,518,2,514,58,48,163,64,26,87,5,4
Dresden,2017,Bundestagswahl,,14 Leipziger Vorstadt,1695,475,943,7,935,78,86,359,167,52,73,14,8
Dresden,2017,Bundestagswahl,,14 Leipziger Vorstadt,1735,552,943,4,935,77,86,340,178,40,52,19,8
Dresden,2017,Bundestagswahl,,14 Leipziger Vorstadt,1271,324,757,9,752,77,61,252,148,25,59,15,5
Dresden,2017,Bundestagswahl,,14 Leipziger Vorstadt,1209,312,749,4,745,90,76,238,160,41,49,7,4
Dresden,2017,Bundestagswahl,,14 Leipziger Vorstadt,1506,328,922,5,910,134,89,230,162,64,125,13,12
Dresden,2017,Bundestagswahl,,14 Leipziger Vorstadt,1244,294,736,3,733,162,66,142,48,62,199,10,3
Dresden,2017,Bundestagswahl,,15 Albertstadt,0,0,602,602,598,143,53,102,85,87,86,2,4
Dresden,2017,Bundestagswahl,,15 Albertstadt,1496,424,648,3,645,159,70,122,104,53,78,10,3
Dresden,2017,Bundestagswahl,,15 Albertstadt,855,205,496,3,493,105,53,95,67,36,89,3,3
Dresden,2017,Bundestagswahl,,21 Pieschen-Süd,0,0,903,903,900,182,77,212,156,69,91,7,3
Dresden,2017,Bundestagswahl,,21 Pieschen-Süd,0,0,930,930,924,178,76,225,145,84,104,9,6
Dresden,2017,Bundestagswahl,,21 Pieschen-Süd,1248,306,678,1,672,89,55,201,107,49,80,9,6
Dresden,2017,Bundestagswahl,,21 Pieschen-Süd,1323,274,728,2,722,105,67,185,74,60,146,17,6
Dresden,2017,Bundestagswahl,,21 Pieschen-Süd,1644,364,904,4,893,171,94,180,108,71,154,15,11
Dresden,2017,Bundestagswahl,,21 Pieschen-Süd,1550,326,856,5,850,116,91,193,119,55,156,18,6
Dresden,2017,Bundestagswahl,,21 Pieschen-Süd,1482,352,762,0,750,125,78,177,99,37,143,12,12
Dresden,2017,Bundestagswahl,,21 Pieschen-Süd,1486,292,800,3,793,128,68,173,96,61,180,15,7
Dresden,2017,Bundestagswahl,,22 Mickten,0,0,895,895,885,236,86,152,74,77,167,12,10
Dresden,2017,Bundestagswahl,,22 Mickten,0,0,987,987,983,259,82,165,78,91,212,7,4
Dresden,2017,Bundestagswahl,,22 Mickten,1569,311,919,2,908,165,98,196,80,59,227,9,11
Dresden,2017,Bundestagswahl,,22 Mickten,1328,266,723,1,714,135,75,123,30,52,217,12,9
Dresden,2017,Bundestagswahl,,22 Mickten,1241,215,662,0,655,134,56,138,30,42,169,7,7
Dresden,2017,Bundestagswahl,,22 Mickten,922,138,527,0,515,108,55,86,10,40,170,2,12
Dresden,2017,Bundestagswahl,,22 Mickten,1212,270,722,3,710,170,54,104,31,74,222,6,12
Dresden,2017,Bundestagswahl,,22 Mickten,1673,351,943,2,936,184,88,165,74,84,230,7,7
Dresden,2017,Bundestagswahl,,22 Mickten,1081,196,666,2,661,128,65,114,28,57,206,5,5
Dresden,2017,Bundestagswahl,,22 Mickten,1085,213,666,2,653,130,62,108,19,56,233,7,13
Dresden,2017,Bundestagswahl,,23 Kaditz,0,0,816,816,813,276,57,106,38,86,187,5,3
