,Stadtteilname,CDU,SPD,Grüne,FDP,AfD,Linke,Piraten
356,"11 Prohlis, Reick (mit Sternh_user, Am Koitschgraben)",24,11,3,10,28,15,0
357,"11 Prohlis, Reick (mit Sternh_user, Am Koitschgraben)",16,12,4,5,36,14,0
358,"13 SÃ´dvorstadt, Zschertnitz",23,11,12,9,13,21,0
359,"13 SÃ´dvorstadt, Zschertnitz",23,9,12,14,9,19,0
360,"13 SÃ´dvorstadt, Zschertnitz",23,13,12,11,12,16,0
361,"13 SÃ´dvorstadt, Zschertnitz",16,11,7,7,31,18,0
362,"13 SÃ´dvorstadt, Zschertnitz",25,12,6,9,19,22,0
363,"13 SÃ´dvorstadt, Zschertnitz",20,11,8,10,21,18,0
364,"13 SÃ´dvorstadt, Zschertnitz",18,9,9,9,22,22,0
365,"13 SÃ´dvorstadt, Zschertnitz",19,10,12,12,19,18,1
366,"13 SÃ´dvorstadt, Zschertnitz",22,12,12,10,18,16,1
367,"13 SÃ´dvorstadt, Zschertnitz",23,12,13,6,18,21,0
368,"13 SÃ´dvorstadt, Zschertnitz",21,13,12,12,12,18,0
369,"13 SÃ´dvorstadt, Zschertnitz",24,12,15,14,7,15,1
370,"13 SÃ´dvorstadt, Zschertnitz",16,11,7,9,15,26,1
371,"13 SÃ´dvorstadt, Zschertnitz",19,13,7,11,23,17,1
372,"13 SÃ´dvorstadt, Zschertnitz",22,11,10,13,17,18,0
373,"13 SÃ´dvorstadt, Zschertnitz",18,10,9,14,21,17,0
374,"13 SÃ´dvorstadt, Zschertnitz",13,13,13,18,5,22,1
375,"13 SÃ´dvorstadt, Zschertnitz",28,11,8,11,16,16,0
376,"13 SÃ´dvorstadt, Zschertnitz",29,11,5,9,18,18,0
377,"13 SÃ´dvorstadt, Zschertnitz",22,10,10,12,20,15,1
378,"13 SÃ´dvorstadt, Zschertnitz",19,11,4,9,30,18,1
379,"13 SÃ´dvorstadt, Zschertnitz",21,8,3,8,29,20,0
380,"13 SÃ´dvorstadt, Zschertnitz",22,11,3,9,29,18,0
381,"13 SÃ´dvorstadt, Zschertnitz",17,10,7,8,25,21,0
382,"13 SÃ´dvorstadt, Zschertnitz",25,12,5,6,27,18,0
383,"13 SÃ´dvorstadt, Zschertnitz",24,9,7,8,24,20,0
384,"14 Mockritz, CoschÃ´tz, Plauen",23,10,3,9,24,19,0
385,"14 Mockritz, CoschÃ´tz, Plauen",32,8,8,9,18,14,0
386,"14 Mockritz, CoschÃ´tz, Plauen",24,10,3,8,32,16,0
387,"14 Mockritz, CoschÃ´tz, Plauen",18,12,4,6,30,20,1
388,"14 Mockritz, CoschÃ´tz, Plauen",21,12,3,7,31,17,0
389,"14 Mockritz, CoschÃ´tz, Plauen",27,5,7,14,29,10,0
390,"14 Mockritz, CoschÃ´tz, Plauen",27,10,7,9,26,13,0
391,"14 Mockritz, CoschÃ´tz, Plauen",26,9,6,10,31,10,0
392,"14 Mockritz, CoschÃ´tz, Plauen",29,12,8,10,18,13,0
393,"14 Mockritz, CoschÃ´tz, Plauen",21,9,5,11,27,17,0
394,"14 Mockritz, CoschÃ´tz, Plauen",28,8,8,13,24,10,0
395,"14 Mockritz, CoschÃ´tz, Plauen",22,8,6,9,33,13,0
396,"14 Mockritz, CoschÃ´tz, Plauen",22,6,4,12,35,13,0
397,"14 Mockritz, CoschÃ´tz, Plauen",25,13,14,11,11,14,1
398,"14 Mockritz, CoschÃ´tz, Plauen",23,12,16,12,8,17,0
399,"14 Mockritz, CoschÃ´tz, Plauen",27,12,15,11,13,14,0
400,"14 Mockritz, CoschÃ´tz, Plauen",20,13,10,12,18,15,0
401,"14 Mockritz, CoschÃ´tz, Plauen",26,10,12,10,17,16,0
402,"14 Mockritz, CoschÃ´tz, Plauen",17,10,10,11,20,20,0
403,"14 Mockritz, CoschÃ´tz, Plauen",23,14,11,9,16,18,0
404,"14 Mockritz, CoschÃ´tz, Plauen",21,11,13,8,14,20,1
405,"14 Mockritz, CoschÃ´tz, Plauen",24,11,12,13,17,15,0
406,"14 Mockritz, CoschÃ´tz, Plauen",26,11,13,9,17,16,0
407,"14 Mockritz, CoschÃ´tz, Plauen",26,16,11,10,18,13,0
408,17 Briesnitz und westliche OS,28,7,6,11,23,13,0
409,17 Briesnitz und westliche OS,23,9,3,8,33,13,0
410,17 Briesnitz und westliche OS,24,9,4,12,33,9,1
411,17 Briesnitz und westliche OS,22,7,6,12,35,11,0
412,17 Briesnitz und westliche OS,26,9,4,9,32,12,0
413,17 Briesnitz und westliche OS,30,7,6,8,28,14,0
414,17 Briesnitz und westliche OS,23,9,3,7,36,13,1
415,17 Briesnitz und westliche OS,25,9,5,10,35,9,0
416,17 Briesnitz und westliche OS,32,5,3,8,37,9,0
417,"15 Cotta, L_btau, Nau_litz, D_lzschen",27,11,7,9,17,17,0
418,"15 Cotta, L_btau, Nau_litz, D_lzschen",28,10,7,9,16,16,1
419,"15 Cotta, L_btau, Nau_litz, D_lzschen",17,10,8,9,30,13,0
420,"15 Cotta, L_btau, Nau_litz, D_lzschen",20,10,6,10,28,14,0
421,"15 Cotta, L_btau, Nau_litz, D_lzschen",21,9,6,9,28,15,0
422,"15 Cotta, L_btau, Nau_litz, D_lzschen",18,10,7,9,25,17,1
423,"15 Cotta, L_btau, Nau_litz, D_lzschen",19,12,3,8,31,17,0
424,"15 Cotta, L_btau, Nau_litz, D_lzschen",17,11,6,10,28,17,1
425,"15 Cotta, L_btau, Nau_litz, D_lzschen",18,11,5,11,25,18,1
426,"15 Cotta, L_btau, Nau_litz, D_lzschen",22,13,14,10,10,18,1
427,"15 Cotta, L_btau, Nau_litz, D_lzschen",22,9,12,11,12,19,1
428,"15 Cotta, L_btau, Nau_litz, D_lzschen",17,10,11,10,16,20,1
429,"15 Cotta, L_btau, Nau_litz, D_lzschen",18,12,8,10,21,16,1
430,"15 Cotta, L_btau, Nau_litz, D_lzschen",17,9,10,9,19,21,1
431,"15 Cotta, L_btau, Nau_litz, D_lzschen",18,9,10,9,24,19,1
432,"15 Cotta, L_btau, Nau_litz, D_lzschen",19,11,10,9,17,22,0
433,"15 Cotta, L_btau, Nau_litz, D_lzschen",22,12,17,10,8,15,0
434,"15 Cotta, L_btau, Nau_litz, D_lzschen",22,10,17,8,10,19,1
435,"15 Cotta, L_btau, Nau_litz, D_lzschen",23,13,14,9,10,16,1
436,"15 Cotta, L_btau, Nau_litz, D_lzschen",18,10,9,11,18,23,0
437,"15 Cotta, L_btau, Nau_litz, D_lzschen",17,12,10,10,21,19,0
438,"15 Cotta, L_btau, Nau_litz, D_lzschen",20,11,12,11,17,16,1
439,"15 Cotta, L_btau, Nau_litz, D_lzschen",19,10,11,9,17,21,1
440,"15 Cotta, L_btau, Nau_litz, D_lzschen",22,10,11,9,21,16,1
441,"15 Cotta, L_btau, Nau_litz, D_lzschen",17,11,10,9,21,18,1
442,"15 Cotta, L_btau, Nau_litz, D_lzschen",21,9,12,10,16,20,1
443,"15 Cotta, L_btau, Nau_litz, D_lzschen",27,9,8,9,18,17,0
444,"15 Cotta, L_btau, Nau_litz, D_lzschen",29,12,7,11,18,12,0
445,"15 Cotta, L_btau, Nau_litz, D_lzschen",20,11,5,7,28,18,1
446,"15 Cotta, L_btau, Nau_litz, D_lzschen",20,11,4,8,33,13,0
447,"15 Cotta, L_btau, Nau_litz, D_lzschen",23,8,5,6,29,16,0
448,"15 Cotta, L_btau, Nau_litz, D_lzschen",25,7,5,13,30,11,0
449,"15 Cotta, L_btau, Nau_litz, D_lzschen",25,9,7,11,24,16,0
450,"15 Cotta, L_btau, Nau_litz, D_lzschen",27,10,7,11,23,13,1
451,"15 Cotta, L_btau, Nau_litz, D_lzschen",20,9,6,10,33,13,0
452,16 Gorbitz,25,10,3,8,26,19,0
453,16 Gorbitz,16,9,2,4,37,19,0
454,16 Gorbitz,16,9,3,3,39,16,0
455,16 Gorbitz,27,13,1,3,27,19,0
456,16 Gorbitz,16,8,2,8,39,13,1
457,16 Gorbitz,15,8,2,3,43,15,0
458,16 Gorbitz,28,10,5,7,19,21,0
459,16 Gorbitz,17,9,3,8,33,20,1
460,16 Gorbitz,18,7,3,6,35,18,0
461,16 Gorbitz,14,9,2,6,40,17,1
462,16 Gorbitz,23,12,4,6,22,22,1
463,16 Gorbitz,17,10,4,5,36,17,0
464,16 Gorbitz,16,9,2,7,37,16,0
465,16 Gorbitz,18,10,2,4,37,19,1
466,17 Briesnitz und westliche OS,29,8,5,9,25,13,0
467,17 Briesnitz und westliche OS,27,8,7,12,21,15,0
468,17 Briesnitz und westliche OS,24,7,5,10,32,13,0
469,17 Briesnitz und westliche OS,22,10,5,8,34,13,0
470,17 Briesnitz und westliche OS,25,8,4,10,33,12,1
471,17 Briesnitz und westliche OS,23,10,5,9,27,13,1
472,17 Briesnitz und westliche OS,17,7,5,10,34,16,1
473,17 Briesnitz und westliche OS,24,9,7,8,29,15,0
474,17 Briesnitz und westliche OS,24,8,7,9,30,12,0
475,17 Briesnitz und westliche OS,32,7,3,10,26,12,0
476,17 Briesnitz und westliche OS,27,8,5,10,29,10,0
477,17 Briesnitz und westliche OS,25,9,2,11,35,10,0
478,17 Briesnitz und westliche OS,28,7,2,14,31,13,0
