GebietsartschlÌ_ssel;Gebietsnummer;Stimmbezirksart;Wahlberechtigte gesamt;Wahlberechtigte ohne Wahlschein;Wahlberechtigte mit Wahlschein;Wahlberechtigte nicht im WÌ_hlerverzeichnis;WÌ_hler gesamt;WÌ_hler mit Wahlschein;UngÌ_ltige Stimmen;Anzahl CSU;Anteil CSU;Anzahl SPD;Anteil SPD;Anzahl GRÌÏNE;Anteil GRÌÏNE;Anzahl FDP;Anteil FDP;Anzahl AfD;Anteil AfD;Anzahl DIE LINKE;Anteil DIE LINKE;Anzahl FREIE WÌãHLER;Anteil FREIE WÌãHLER;Anzahl PIRATEN;Anteil PIRATEN;Anzahl ÌÐDP;Anteil ÌÐDP;Anzahl BP;Anteil BP;Anzahl NPD;Anteil NPD;Anzahl Tierschutzpartei;Anteil Tierschutzpartei;Anzahl MLPD;Anteil MLPD;Anzahl BÌ_So;Anteil BÌ_So;Anzahl BGE;Anteil BGE;Anzahl DiB;Anteil DiB;Anzahl DKP;Anteil DKP;Anzahl DM;Anteil DM;Anzahl Die PARTEI;Anteil Die PARTEI;Anzahl Gesundheitsforschung;Anteil Gesundheitsforschung;Anzahl V-Parteiå_;Anteil V-Parteiå_
BTSB;10;1;30732;20834;9897;1;23067;9451;98;7109;30,95%;4156;18,09%;3095;13,47%;2779;12,10%;2514;10,95%;1780;7,75%;312;1,36%;100;0,44%;198;0,86%;192;0,84%;21;0,09%;241;1,05%;8;0,03%;6;0,03%;49;0,21%;54;0,24%;7;0,03%;36;0,16%;223;0,97%;40;0,17%;49;0,21%
BTSB;11;1;36441;26135;10306;0;25341;9845;146;7128;28,29%;4878;19,36%;3391;13,46%;2934;11,65%;2828;11,22%;2262;8,98%;356;1,41%;149;0,59%;228;0,90%;166;0,66%;25;0,10%;261;1,04%;20;0,08%;2;0,01%;61;0,24%;82;0,33%;6;0,02%;66;0,26%;274;1,09%;31;0,12%;47;0,19%
BTSB;12;1;45689;28449;17238;2;35917;16438;129;10402;29,07%;5549;15,51%;6114;17,08%;6163;17,22%;2880;8,05%;2766;7,73%;357;1,00%;152;0,42%;301;0,84%;149;0,42%;21;0,06%;229;0,64%;8;0,02%;5;0,01%;69;0,19%;126;0,35%;10;0,03%;51;0,14%;350;0,98%;27;0,08%;59;0,16%
BTSB;13;1;55239;34017;21221;1;44847;20350;142;15039;33,64%;6597;14,76%;6540;14,63%;8071;18,05%;3647;8,16%;2698;6,04%;426;0,95%;143;0,32%;356;0,80%;183;0,41%;28;0,06%;300;0,67%;11;0,02%;3;0,01%;76;0,17%;122;0,27%;5;0,01%;49;0,11%;297;0,66%;32;0,07%;82;0,18%
BTSB;14;1;25719;17246;8473;0;18898;8072;79;5721;30,40%;3321;17,65%;2661;14,14%;2248;11,95%;2049;10,89%;1579;8,39%;276;1,47%;83;0,44%;143;0,76%;145;0,77%;21;0,11%;187;0,99%;7;0,04%;9;0,05%;37;0,20%;50;0,27%;7;0,04%;30;0,16%;179;0,95%;21;0,11%;45;0,24%
BTSB;15;1;43154;28730;14424;0;34836;13893;145;12509;36,06%;5123;14,77%;4890;14,10%;5064;14,60%;3113;8,97%;1983;5,72%;475;1,37%;146;0,42%;286;0,82%;191;0,55%;30;0,09%;309;0,89%;10;0,03%;8;0,02%;61;0,18%;101;0,29%;9;0,03%;38;0,11%;254;0,73%;24;0,07%;67;0,19%
BTSB;16;1;61792;43009;18780;3;44879;17923;239;14249;31,92%;8298;18,59%;5653;12,66%;4984;11,16%;4927;11,04%;3578;8,02%;627;1,40%;246;0,55%;394;0,88%;295;0,66%;57;0,13%;422;0,95%;34;0,08%;13;0,03%;87;0,19%;129;0,29%;18;0,04%;99;0,22%;404;0,91%;51;0,11%;75;0,17%
BTSB;17;1;31409;20722;10684;3;23733;10126;108;6180;26,16%;4090;17,31%;4317;18,27%;2693;11,40%;2158;9,13%;2488;10,53%;362;1,53%;119;0,50%;195;0,83%;152;0,64%;28;0,12%;218;0,92%;29;0,12%;8;0,03%;55;0,23%;91;0,39%;7;0,03%;49;0,21%;291;1,23%;20;0,08%;75;0,32%
BTSB;18;1;34561;21448;13110;3;27602;12534;89;7913;28,76%;4125;14,99%;5568;20,24%;3851;14,00%;2005;7,29%;2515;9,14%;243;0,88%;106;0,39%;246;0,89%;102;0,37%;20;0,07%;233;0,85%;14;0,05%;6;0,02%;79;0,29%;110;0,40%;7;0,03%;47;0,17%;252;0,92%;18;0,07%;53;0,19%
BTSB;19;1;58982;37732;21248;2;46917;20389;188;15315;32,77%;7196;15,40%;6950;14,87%;7066;15,12%;4420;9,46%;3275;7,01%;559;1,20%;165;0,35%;409;0,88%;238;0,51%;37;0,08%;340;0,73%;8;0,02%;17;0,04%;70;0,15%;107;0,23%;7;0,01%;55;0,12%;365;0,78%;41;0,09%;89;0,19%
BTSB;20;1;30310;20351;9958;1;23803;9547;100;8080;34,09%;3856;16,27%;3253;13,72%;3125;13,18%;2266;9,56%;1695;7,15%;284;1,20%;104;0,44%;203;0,86%;162;0,68%;17;0,07%;216;0,91%;8;0,03%;9;0,04%;47;0,20%;87;0,37%;2;0,01%;33;0,14%;190;0,80%;27;0,11%;39;0,16%
BTSB;21;1;46944;30073;16870;1;38319;16213;147;12600;33,01%;5959;15,61%;6407;16,78%;5565;14,58%;3076;8,06%;2568;6,73%;389;1,02%;125;0,33%;361;0,95%;193;0,51%;28;0,07%;270;0,71%;9;0,02%;11;0,03%;72;0,19%;111;0,29%;10;0,03%;42;0,11%;276;0,72%;40;0,10%;60;0,16%
BTSB;22;1;27150;18999;8151;0;20923;7847;131;7509;36,11%;3431;16,50%;2471;11,88%;2378;11,44%;2322;11,17%;1336;6,43%;286;1,38%;112;0,54%;186;0,89%;186;0,89%;29;0,14%;190;0,91%;7;0,03%;9;0,04%;31;0,15%;58;0,28%;11;0,05%;39;0,19%;136;0,65%;20;0,10%;45;0,22%
BTSB;23;1;20349;13382;6967;0;16530;6696;48;6311;38,29%;2467;14,97%;2124;12,89%;2165;13,14%;1568;9,51%;904;5,48%;193;1,17%;63;0,38%;133;0,81%;154;0,93%;18;0,11%;123;0,75%;1;0,01%;8;0,05%;28;0,17%;48;0,29%;0;0,00%;31;0,19%;106;0,64%;11;0,07%;26;0,16%
BTSB;24;1;33061;23751;9310;0;23726;8856;134;8010;33,95%;4090;17,34%;2566;10,88%;2689;11,40%;3111;13,19%;1646;6,98%;351;1,49%;105;0,45%;153;0,65%;203;0,86%;35;0,15%;221;0,94%;12;0,05%;14;0,06%;43;0,18%;63;0,27%;8;0,03%;45;0,19%;157;0,67%;35;0,15%;35;0,15%
BTSB;25;1;35116;22797;12317;2;27129;11737;139;7940;29,42%;4623;17,13%;4466;16,55%;3055;11,32%;2444;9,06%;2581;9,56%;343;1,27%;117;0,43%;248;0,92%;185;0,69%;39;0,14%;296;1,10%;11;0,04%;12;0,04%;49;0,18%;103;0,38%;17;0,06%;37;0,14%;327;1,21%;35;0,13%;62;0,23%
BTSB;162;1;923612;594743;328833;36;724991;314378;2850;216444;29,97%;116764;16,17%;124365;17,22%;102643;14,21%;60414;8,37%;59758;8,28%;7918;1,10%;3053;0,42%;6073;0,84%;3779;0,52%;607;0,08%;5911;0,82%;289;0,04%;202;0,03%;1521;0,21%;2457;0,34%;184;0,03%;1035;0,14%;6644;0,92%;669;0,09%;1411;0,20%
