,Jahr,Wahlart,Wahlbezirk,Stadtteil zus.,Stadtraum,Stadtbezirk mit zugeordneten Ortschaften,Wahl-Form,Wahlberechtigte,Wahlberechtigte mit WS,W_hler,W_hler mit WS,Stimmen gôltig,Stimmen CDU,Stimmen SPD,Stimmen Die Linke,Stimmen Grône,Stimmen FDP,Stimmen Rechte Parteien,Stimmen AfD,Stimmen Piraten,Stimmen sonstiger Parteien,Stimmen ungôltig
0,2013,Bundestagswahl,1000,01 Innere Altstadt,01 StB Altstadt ohne Johannstadt,StB 0 Altstadt,Wahlbezirk_Brief,0,0,372,372,372,133,51,79,45,19,3,15,20,7,0
1,2013,Bundestagswahl,1100,01 Innere Altstadt,01 StB Altstadt ohne Johannstadt,StB 0 Altstadt,Wahlbezirk_Urne,1355,386,663,0,656,226,122,116,53,39,5,34,48,13,7
2,2013,Bundestagswahl,2000,02 Pirnaische Vorstadt,01 StB Altstadt ohne Johannstadt,StB 0 Altstadt,Wahlbezirk_Brief,0,0,1017,1017,1013,379,192,227,64,29,10,55,42,15,4
3,2013,Bundestagswahl,2100,02 Pirnaische Vorstadt,01 StB Altstadt ohne Johannstadt,StB 0 Altstadt,Wahlbezirk_Urne,1592,369,767,0,760,242,129,179,58,19,13,50,56,14,7
4,2013,Bundestagswahl,2200,02 Pirnaische Vorstadt,01 StB Altstadt ohne Johannstadt,StB 0 Altstadt,Wahlbezirk_Urne,1900,383,886,0,872,310,137,210,52,19,18,58,52,16,14
5,2013,Bundestagswahl,2400,02 Pirnaische Vorstadt,01 StB Altstadt ohne Johannstadt,StB 0 Altstadt,Wahlbezirk_Urne,1426,297,723,0,715,321,117,129,44,19,14,41,19,11,8
6,2013,Bundestagswahl,3001,03 Seevorstadt-Ost,01 StB Altstadt ohne Johannstadt,StB 0 Altstadt,Wahlbezirk_Brief,0,0,490,490,485,175,84,97,53,25,5,14,26,6,5
7,2013,Bundestagswahl,3002,03 Seevorstadt-Ost,01 StB Altstadt ohne Johannstadt,StB 0 Altstadt,Wahlbezirk_Brief,0,0,631,631,627,256,113,102,58,30,6,29,23,10,4
8,2013,Bundestagswahl,3100,03 Seevorstadt-Ost,01 StB Altstadt ohne Johannstadt,StB 0 Altstadt,Wahlbezirk_Urne,1210,181,584,1,569,191,85,128,28,21,12,49,37,18,15
9,2013,Bundestagswahl,3200,03 Seevorstadt-Ost,01 StB Altstadt ohne Johannstadt,StB 0 Altstadt,Wahlbezirk_Urne,1400,328,701,0,698,271,102,156,45,19,17,41,28,19,3
10,2013,Bundestagswahl,3300,03 Seevorstadt-Ost,01 StB Altstadt ohne Johannstadt,StB 0 Altstadt,Wahlbezirk_Urne,1336,306,716,0,681,298,132,127,42,11,9,41,11,10,35
11,2013,Bundestagswahl,3400,03 Seevorstadt-Ost,01 StB Altstadt ohne Johannstadt,StB 0 Altstadt,Wahlbezirk_Urne,1754,347,982,1,960,414,144,183,56,28,15,78,24,18,22
12,2013,Bundestagswahl,4001,04 Wilsdruffer Vs./Seevs.-West,01 StB Altstadt ohne Johannstadt,StB 0 Altstadt,Wahlbezirk_Brief,0,0,675,675,673,270,103,159,55,20,7,27,22,10,2
13,2013,Bundestagswahl,4002,04 Wilsdruffer Vs./Seevs.-West,01 StB Altstadt ohne Johannstadt,StB 0 Altstadt,Wahlbezirk_Brief,0,0,579,579,572,193,118,153,24,11,13,25,21,14,7
14,2013,Bundestagswahl,4100,04 Wilsdruffer Vs./Seevs.-West,01 StB Altstadt ohne Johannstadt,StB 0 Altstadt,Wahlbezirk_Urne,923,241,481,1,477,183,81,91,43,21,7,23,21,7,4
15,2013,Bundestagswahl,4200,04 Wilsdruffer Vs./Seevs.-West,01 StB Altstadt ohne Johannstadt,StB 0 Altstadt,Wahlbezirk_Urne,1016,223,436,0,432,158,74,106,26,8,10,23,20,7,4
16,2013,Bundestagswahl,4300,04 Wilsdruffer Vs./Seevs.-West,01 StB Altstadt ohne Johannstadt,StB 0 Altstadt,Wahlbezirk_Urne,1377,230,760,1,750,268,129,179,34,17,22,50,29,22,10
17,2013,Bundestagswahl,4400,04 Wilsdruffer Vs./Seevs.-West,01 StB Altstadt ohne Johannstadt,StB 0 Altstadt,Wahlbezirk_Urne,1120,229,532,0,521,195,74,152,29,5,14,29,15,8,11
18,2013,Bundestagswahl,4500,04 Wilsdruffer Vs./Seevs.-West,01 StB Altstadt ohne Johannstadt,StB 0 Altstadt,Wahlbezirk_Urne,1098,149,646,0,630,217,107,165,27,17,10,48,29,10,16
19,2013,Bundestagswahl,4600,04 Wilsdruffer Vs./Seevs.-West,01 StB Altstadt ohne Johannstadt,StB 0 Altstadt,Wahlbezirk_Urne,965,208,545,0,540,219,62,166,18,15,13,31,10,6,5
20,2013,Bundestagswahl,5000,05 Friedrichstadt,01 StB Altstadt ohne Johannstadt,StB 0 Altstadt,Wahlbezirk_Brief,0,0,837,837,828,223,156,170,137,27,14,30,56,15,9
21,2013,Bundestagswahl,5100,05 Friedrichstadt,01 StB Altstadt ohne Johannstadt,StB 0 Altstadt,Wahlbezirk_Urne,1756,287,819,1,802,266,116,156,60,30,24,50,84,16,17
